dialogue_prompt_id,category_id,category_title,scenario_id,scenario_title,response_type,minimal_context,dialogue,mcq_ids,challenge_type,rubric_criteria_immediate,rubric_criteria_long_term
1,1,Gifted student with impulse control disorder and depression exhibiting perfectionism and transition difficulties,1,Perfectionism and distress during mind-games task completion,immediate,The student is completing a working paper consisting of mind-games right before the lunch break.,"TUTOR: Here is the working paper consisting of mind-games. Please start working on the questions.

STUDENT: (Erases and re-writes over and over again, working on the details) I am not finished yet.

TUTOR: Keep working on it. We will be breaking off for lunch soon.

STUDENT: (In a high voice) I cannot do it but I will!

TUTOR: The application is over now. Please return your paper so we can go to lunch.

STUDENT: (Starts crying) I will not return my paper unless I solve all the questions! I cannot do it but I will!",1,Emotional Distress,"1. Conditional Task Continuation: The tutor allows the student to retain or finish incomplete work by establishing a specific condition or boundary (e.g., 'you can keep it if...').

2. Preferred-Activity Transition Bridging: The tutor motivates a transition by explicitly promising a highly preferred activity or person immediately following the completion of the current task.

3. Environmental De-escalation: The tutor directs or escorts the student to a separate, quiet environment away from the trigger to calm down during an active outburst.

4. Explicit Sequential Clarity: The tutor provides a clear, unambiguous sequence of immediate actions without vague language to guide the student through a transition.","1. Predictable Routine Integration: The tutor's long-term plan includes establishing fixed, predictable routines and explicitly communicating the student's specific role within that daily cycle.

2. Stability-Focused Instruction: The tutor plans to maximize academic instruction and behavioral reflection exclusively during periods when the student is emotionally stable and calm.

3. Modeling Patience for Peer Culture: The tutor's plan includes explicitly modeling calm, patient responses to the student's outbursts to teach peers how to support and tolerate him."
2,1,Gifted student with impulse control disorder and depression exhibiting perfectionism and transition difficulties,2,Refusal to transition to individual work,immediate,The student is asked to transition from group play to the deputy principal's room for individual work.,"TUTOR: SD, it is time to transition from group play to our individual work. Please come into the deputy principal's room.

STUDENT: (Walks in) I am not working with you. I want to join my friends to play the games.

TUTOR: We need to do our work now. Please sit on the white leather chair.

STUDENT: But I am not going to sit on the chair, I am going to sit on the floor.

TUTOR: Please sit on the chair so we can get prepared to work.

STUDENT: (Refuses to get prepared to work) No! I am turning you down!",2,Emotional Distress,"1. Conditional Task Continuation: The tutor allows the student to retain or finish incomplete work by establishing a specific condition or boundary (e.g., 'you can keep it if...').

2. Preferred-Activity Transition Bridging: The tutor motivates a transition by explicitly promising a highly preferred activity or person immediately following the completion of the current task.

3. Environmental De-escalation: The tutor directs or escorts the student to a separate, quiet environment away from the trigger to calm down during an active outburst.

4. Explicit Sequential Clarity: The tutor provides a clear, unambiguous sequence of immediate actions without vague language to guide the student through a transition.","1. Predictable Routine Integration: The tutor's long-term plan includes establishing fixed, predictable routines and explicitly communicating the student's specific role within that daily cycle.

2. Stability-Focused Instruction: The tutor plans to maximize academic instruction and behavioral reflection exclusively during periods when the student is emotionally stable and calm.

3. Modeling Patience for Peer Culture: The tutor's plan includes explicitly modeling calm, patient responses to the student's outbursts to teach peers how to support and tolerate him."
3,1,Gifted student with impulse control disorder and depression exhibiting perfectionism and transition difficulties,2,Refusal to transition to individual work,long_term,The student is asked to transition from group play to the deputy principal's room for individual work.,"TUTOR: SD, it is time to transition from group play to our individual work. Please come into the deputy principal's room.

STUDENT: (Walks in) I am not working with you. I want to join my friends to play the games.

TUTOR: We need to do our work now. Please sit on the white leather chair.

STUDENT: But I am not going to sit on the chair, I am going to sit on the floor.

TUTOR: Please sit on the chair so we can get prepared to work.

STUDENT: (Refuses to get prepared to work) No! I am turning you down!",3,Emotional Distress,"1. Conditional Task Continuation: The tutor allows the student to retain or finish incomplete work by establishing a specific condition or boundary (e.g., 'you can keep it if...').

2. Preferred-Activity Transition Bridging: The tutor motivates a transition by explicitly promising a highly preferred activity or person immediately following the completion of the current task.

3. Environmental De-escalation: The tutor directs or escorts the student to a separate, quiet environment away from the trigger to calm down during an active outburst.

4. Explicit Sequential Clarity: The tutor provides a clear, unambiguous sequence of immediate actions without vague language to guide the student through a transition.","1. Predictable Routine Integration: The tutor's long-term plan includes establishing fixed, predictable routines and explicitly communicating the student's specific role within that daily cycle.

2. Stability-Focused Instruction: The tutor plans to maximize academic instruction and behavioral reflection exclusively during periods when the student is emotionally stable and calm.

3. Modeling Patience for Peer Culture: The tutor's plan includes explicitly modeling calm, patient responses to the student's outbursts to teach peers how to support and tolerate him."
4,1,Gifted student with impulse control disorder and depression exhibiting perfectionism and transition difficulties,3,Sudden anger outburst during drawing task,immediate,The student is inside the classroom working on a drawing task titled 'Dragon Tower' with his mind-game prize chocolates nearby.,"TUTOR: Here are your drawing materials and the prize chocolates you won in the mind-game. You can start drawing your picture titled 'Dragon Tower'.

STUDENT: (Sits at the desk, appearing calm and focused as he begins to draw the picture.)

TUTOR: You have been working for a short while. Keep going.

STUDENT: (Stops drawing and suddenly raises his head in a burst of anger.)

TUTOR: Remember, you wanted to draw pictures.

STUDENT: My time! My time lost in vain! (Starts shouting inside the classroom and throws the prize chocolates.)",4,Emotional Distress,"1. Conditional Task Continuation: The tutor allows the student to retain or finish incomplete work by establishing a specific condition or boundary (e.g., 'you can keep it if...').

2. Preferred-Activity Transition Bridging: The tutor motivates a transition by explicitly promising a highly preferred activity or person immediately following the completion of the current task.

3. Environmental De-escalation: The tutor directs or escorts the student to a separate, quiet environment away from the trigger to calm down during an active outburst.

4. Explicit Sequential Clarity: The tutor provides a clear, unambiguous sequence of immediate actions without vague language to guide the student through a transition.","1. Predictable Routine Integration: The tutor's long-term plan includes establishing fixed, predictable routines and explicitly communicating the student's specific role within that daily cycle.

2. Stability-Focused Instruction: The tutor plans to maximize academic instruction and behavioral reflection exclusively during periods when the student is emotionally stable and calm.

3. Modeling Patience for Peer Culture: The tutor's plan includes explicitly modeling calm, patient responses to the student's outbursts to teach peers how to support and tolerate him."
5,1,Gifted student with impulse control disorder and depression exhibiting perfectionism and transition difficulties,3,Sudden anger outburst during drawing task,long_term,The student is inside the classroom working on a drawing task titled 'Dragon Tower' with his mind-game prize chocolates nearby.,"TUTOR: Here are your drawing materials and the prize chocolates you won in the mind-game. You can start drawing your picture titled 'Dragon Tower'.

STUDENT: (Sits at the desk, appearing calm and focused as he begins to draw the picture.)

TUTOR: You have been working for a short while. Keep going.

STUDENT: (Stops drawing and suddenly raises his head in a burst of anger.)

TUTOR: Remember, you wanted to draw pictures.

STUDENT: My time! My time lost in vain! (Starts shouting inside the classroom and throws the prize chocolates.)",0005|0006,Emotional Distress,"1. Conditional Task Continuation: The tutor allows the student to retain or finish incomplete work by establishing a specific condition or boundary (e.g., 'you can keep it if...').

2. Preferred-Activity Transition Bridging: The tutor motivates a transition by explicitly promising a highly preferred activity or person immediately following the completion of the current task.

3. Environmental De-escalation: The tutor directs or escorts the student to a separate, quiet environment away from the trigger to calm down during an active outburst.

4. Explicit Sequential Clarity: The tutor provides a clear, unambiguous sequence of immediate actions without vague language to guide the student through a transition.","1. Predictable Routine Integration: The tutor's long-term plan includes establishing fixed, predictable routines and explicitly communicating the student's specific role within that daily cycle.

2. Stability-Focused Instruction: The tutor plans to maximize academic instruction and behavioral reflection exclusively during periods when the student is emotionally stable and calm.

3. Modeling Patience for Peer Culture: The tutor's plan includes explicitly modeling calm, patient responses to the student's outbursts to teach peers how to support and tolerate him."
6,2,"Child with ASD, ADHD, and Specific Learning Disability exhibiting academic resistance and behavioral outbursts",4,Phonemic awareness instruction and letter sound retrieval,immediate,Sam and his tutor are sitting in a quiet spot for a one-to-one lesson to practice identifying letter sounds.,"TUTOR: Let's look at the letter we learned this morning. Tell me what sound it makes.

STUDENT: I don't want to read.

TUTOR: Just try your best to remember the sound.

STUDENT: I don't know it!

TUTOR: Okay, let's look at this new letter instead. What sound do you think this one makes?

STUDENT: (Pushes the letters off the table and begins to scream) No! I'm not doing it!",0007|0008,Task Resistance,"1. First-Then Contingency Framing: The tutor's response explicitly frames the expectation using a 'first [academic task], then [reinforcer/preferred activity]' structure.

2. Active Task Mechanics: The tutor's response embeds the academic content into an active, game-like, or purpose-driven mechanic (e.g., a treasure hunt, physical movement) rather than a standard worksheet or drill.

3. Novel Extrinsic Reinforcement Offer: The tutor's response includes an immediate offer of a tangible or highly motivating extrinsic reward tied to task completion or effort.","1. High-Frequency Micro-Lesson Scheduling: The long-term plan structures instruction into very short (5-10 minute) blocks that occur multiple times a day, rather than single, prolonged sessions.

2. Distraction-Free Environmental Control: The long-term plan explicitly specifies conducting instruction in a quiet, one-on-one setting with minimal auditory and visual distractions.

3. Ultra-Gradual Content Pacing: The long-term plan restricts the introduction of new material to an extremely slow pace (e.g., one new sound per week) with heavy repetition of previously taught content.

4. Continuous Intervention Schedule: The long-term plan mandates a continuous, daily instructional schedule (e.g., 60 days unbroken) to prevent rapid skill regression.

5. Structured Point and Praise System: The long-term plan includes a formal token or point system where Sam earns points specifically for attention, effort, or accuracy, paired with specific verbal praise.

6. Integration of Specialized Behavioral Support: The long-term plan incorporates teaming with a qualified behavioral specialist (e.g., ABA therapist) to manage reinforcement ratios and activity levels during instruction."
7,2,"Child with ASD, ADHD, and Specific Learning Disability exhibiting academic resistance and behavioral outbursts",4,Phonemic awareness instruction and letter sound retrieval,long_term,Sam and his tutor are sitting in a quiet spot for a one-to-one lesson to practice identifying letter sounds.,"TUTOR: Let's look at the letter we learned this morning. Tell me what sound it makes.

STUDENT: I don't want to read.

TUTOR: Just try your best to remember the sound.

STUDENT: I don't know it!

TUTOR: Okay, let's look at this new letter instead. What sound do you think this one makes?

STUDENT: (Pushes the letters off the table and begins to scream) No! I'm not doing it!",0009|0010|0011|0012,Task Resistance,"1. First-Then Contingency Framing: The tutor's response explicitly frames the expectation using a 'first [academic task], then [reinforcer/preferred activity]' structure.

2. Active Task Mechanics: The tutor's response embeds the academic content into an active, game-like, or purpose-driven mechanic (e.g., a treasure hunt, physical movement) rather than a standard worksheet or drill.

3. Novel Extrinsic Reinforcement Offer: The tutor's response includes an immediate offer of a tangible or highly motivating extrinsic reward tied to task completion or effort.","1. High-Frequency Micro-Lesson Scheduling: The long-term plan structures instruction into very short (5-10 minute) blocks that occur multiple times a day, rather than single, prolonged sessions.

2. Distraction-Free Environmental Control: The long-term plan explicitly specifies conducting instruction in a quiet, one-on-one setting with minimal auditory and visual distractions.

3. Ultra-Gradual Content Pacing: The long-term plan restricts the introduction of new material to an extremely slow pace (e.g., one new sound per week) with heavy repetition of previously taught content.

4. Continuous Intervention Schedule: The long-term plan mandates a continuous, daily instructional schedule (e.g., 60 days unbroken) to prevent rapid skill regression.

5. Structured Point and Praise System: The long-term plan includes a formal token or point system where Sam earns points specifically for attention, effort, or accuracy, paired with specific verbal praise.

6. Integration of Specialized Behavioral Support: The long-term plan incorporates teaming with a qualified behavioral specialist (e.g., ABA therapist) to manage reinforcement ratios and activity levels during instruction."
8,2,"Child with ASD, ADHD, and Specific Learning Disability exhibiting academic resistance and behavioral outbursts",5,General education classroom paper and pencil tasks,immediate,Sam is sitting at his desk in the general education kindergarten classroom with a teacher for a paper and pencil drawing task.,"TUTOR: Sam, here is your paper and pencil. Let's practice drawing and coloring.

STUDENT: (Refuses to participate in the lesson and pushes the paper away.) No.

TUTOR: We need to finish this paper and pencil task.

STUDENT: (Gets out of his chair at the desk.)

TUTOR: Please come back to your desk and pick up your pencil.

STUDENT: (Displays rage-like behaviors and begins roaming the classroom.)",13,Task Resistance,"1. First-Then Contingency Framing: The tutor's response explicitly frames the expectation using a 'first [academic task], then [reinforcer/preferred activity]' structure.

2. Active Task Mechanics: The tutor's response embeds the academic content into an active, game-like, or purpose-driven mechanic (e.g., a treasure hunt, physical movement) rather than a standard worksheet or drill.

3. Novel Extrinsic Reinforcement Offer: The tutor's response includes an immediate offer of a tangible or highly motivating extrinsic reward tied to task completion or effort.","1. High-Frequency Micro-Lesson Scheduling: The long-term plan structures instruction into very short (5-10 minute) blocks that occur multiple times a day, rather than single, prolonged sessions.

2. Distraction-Free Environmental Control: The long-term plan explicitly specifies conducting instruction in a quiet, one-on-one setting with minimal auditory and visual distractions.

3. Ultra-Gradual Content Pacing: The long-term plan restricts the introduction of new material to an extremely slow pace (e.g., one new sound per week) with heavy repetition of previously taught content.

4. Continuous Intervention Schedule: The long-term plan mandates a continuous, daily instructional schedule (e.g., 60 days unbroken) to prevent rapid skill regression.

5. Structured Point and Praise System: The long-term plan includes a formal token or point system where Sam earns points specifically for attention, effort, or accuracy, paired with specific verbal praise.

6. Integration of Specialized Behavioral Support: The long-term plan incorporates teaming with a qualified behavioral specialist (e.g., ABA therapist) to manage reinforcement ratios and activity levels during instruction."
9,2,"Child with ASD, ADHD, and Specific Learning Disability exhibiting academic resistance and behavioral outbursts",5,General education classroom paper and pencil tasks,long_term,Sam is sitting at his desk in the general education kindergarten classroom with a teacher for a paper and pencil drawing task.,"TUTOR: Sam, here is your paper and pencil. Let's practice drawing and coloring.

STUDENT: (Refuses to participate in the lesson and pushes the paper away.) No.

TUTOR: We need to finish this paper and pencil task.

STUDENT: (Gets out of his chair at the desk.)

TUTOR: Please come back to your desk and pick up your pencil.

STUDENT: (Displays rage-like behaviors and begins roaming the classroom.)",14,Task Resistance,"1. First-Then Contingency Framing: The tutor's response explicitly frames the expectation using a 'first [academic task], then [reinforcer/preferred activity]' structure.

2. Active Task Mechanics: The tutor's response embeds the academic content into an active, game-like, or purpose-driven mechanic (e.g., a treasure hunt, physical movement) rather than a standard worksheet or drill.

3. Novel Extrinsic Reinforcement Offer: The tutor's response includes an immediate offer of a tangible or highly motivating extrinsic reward tied to task completion or effort.","1. High-Frequency Micro-Lesson Scheduling: The long-term plan structures instruction into very short (5-10 minute) blocks that occur multiple times a day, rather than single, prolonged sessions.

2. Distraction-Free Environmental Control: The long-term plan explicitly specifies conducting instruction in a quiet, one-on-one setting with minimal auditory and visual distractions.

3. Ultra-Gradual Content Pacing: The long-term plan restricts the introduction of new material to an extremely slow pace (e.g., one new sound per week) with heavy repetition of previously taught content.

4. Continuous Intervention Schedule: The long-term plan mandates a continuous, daily instructional schedule (e.g., 60 days unbroken) to prevent rapid skill regression.

5. Structured Point and Praise System: The long-term plan includes a formal token or point system where Sam earns points specifically for attention, effort, or accuracy, paired with specific verbal praise.

6. Integration of Specialized Behavioral Support: The long-term plan incorporates teaming with a qualified behavioral specialist (e.g., ABA therapist) to manage reinforcement ratios and activity levels during instruction."
10,3,Students with inappropriate verbal behavior and off-task statements in academic contexts,6,Independent textbook activities with verbal resistance and noise making,immediate,Desi is sitting at his desk in a self-contained classroom working on independent textbook activities.,"TUTOR: Please open your textbook and begin the independent activity.

STUDENT: (Makes a loud buzzing noise) I'm not doing this stupid book.

TUTOR: You need to keep working on the assignment.

STUDENT: Why do I always have to do this? It's not fair and you're always making me do the worst stuff!

TUTOR: Just do your best and focus on the textbook.

STUDENT: Shut up! If you don't leave me alone I'm going to smash this tape recorder!",0015|0016,Social-Interpersonal Difficulty,"1. Active Ignoring of Undesirable Behavior: The tutor completely ignores any whining, arguing, or noise-making without offering redirection, reprimands, or verbal acknowledgment of the negative behavior.

2. Specific Behavior-Anchored Praise: The tutor provides explicit praise that specifically names a desirable behavior or accomplishment (rather than generic praise) to reinforce positive engagement.",1. Interval-Based Self-Monitoring Routine: The long-term plan includes a structured self-monitoring tool (such as an interval-based checklist or audio cue system) where Desi regularly records his own positive interactions.
