title,authors,year,eric_id,eric_page,abstract,in_dataset
Brief Report: Measurement of Young Children's Engagement and Problem Behavior in Early Childhood Settings.,"Prykanowski, Debra A.; Martinez, Jose R.; Reichow, Brian; Conroy, Maureen A.; Huang, Ke",2018,EJ1194362,https://eric.ed.gov/?id=EJ1194362,"Given the importance of engagement and impact of problem behavior on young children's behavioral, social, and academic development, these two behaviors are often observed and measured in early childhood settings. The purpose of this brief report is to describe the findings from an examination of the use of multiple direct observation methods to measure engagement and problem behaviors of five children in early childhood settings across two different activity types. Findings from this study support previous research that young children's engagement and problem behavior differ depending on the type of classroom activity. In addition, the data indicate that behavioral estimates for both engagement and problem behavior obtained using momentary time sampling produced measures of behaviors comparable with those obtained with continuous recording, whereas partial-interval recording consistently overestimated the occurrence of the behaviors compared with continuous recording. Implications of",
Profiles of Problem Behavior in Children with Varying Language Ability.,"Chow, Jason C.; Wehby, Joseph H.",2019,EJ1215273,https://eric.ed.gov/?id=EJ1215273,"The purpose of this study was to explore the relationships between language behavior in students with or at risk of emotional and behavioral disorders. School-age students in K-4 grades (N = 300, 76% male) were sampled across three school districts. Students were grouped based on oral language ability and measured on teacher-rated subscales of problem behavior and direct observation of classroom behavior. Profile analyses revealed that language ability was associated with direct observation measures of classroom behaviors. Lower language was associated with higher rates of aggression, and higher language was associated with higher rates of academic engagement. Incongruent results relative to teacher-rated and directly observed behavior, limitations, and implications for future research are discussed.",
A Twice-Exceptional Child--A Case Study.,"Gök, Bilge; Bas, Özlem; Tuncay, Aysegül Avsar",2018,EJ1177298,https://eric.ed.gov/?id=EJ1177298,"This is a qualitative case study of a gifted twice-exceptional student with impulse control disorder (ICD) co-diagnosed with depression. This study follows the 'case study' pattern (precedence). The data set of this study is composed of documents from a study involving a twice-exceptional student with adverse event sampling who has been selected through purposive sampling (activity papers, drawings), minutes of interviews with the student's mother and teachers and observation notes kept throughout the process. Data have been analyzed using the content analysis methodology. At the end of this study seeking to find out what this gifted student with impulse control disorder [ICD] codiagnosed with depression goes through in the event of being also twice-exceptional and whether or not his/her condition of being gifted is overshadowed by him/her having psychological; the fact that disadvantaging traits of such twice-exceptional child has been found to dwindle almost down to none can be",O
Possibilities of Application of Inquiry-Based Learning When Developing the Thinking of Pupils with Mild Intellectual Disability and Behaviour Disorders-Comparative Research.,"Dostál, Jirí; Janu, Miroslav; Bal, Belgin; Nuangchalerm, Prasart; Stebila, Ján",2016,ED565014,https://eric.ed.gov/?id=ED565014,"The inclusion of pupils into schools of the main educational stream is emphasized at the international level. Recently, this trend is more strongly applied in post-communist countries, where the now-criticized approaches (based on the exclusion of pupils with mild intellectual disability and behaviour disorders--e.g. ADHD--and their inclusion into special schools) persisted for a long time. Currently, the discussion on appropriate educational approaches which should be applied is now under development. Contemporary tendencies emphasize principles of so-called inquiry-based learning (IBL). This is the reason why the authors of this article compare published research conclusions at the international level. A number of them bring findings that the application of IBL influence positively the pupils with mild intellectual disability and behaviour disorders. However, there are also some researches that do not prove this finding. Based on the comparison, the authors conclude that the",
Classroom Behavior of Students with or at Risk of EBD: Student Gender Affects Teacher Ratings but Not Direct Observations.,"Sheaffer, Amanda W.; Majeika, Caitlyn E.; Gilmour, Allison F.; Wehby, Joseph H.",2021,EJ1281805,https://eric.ed.gov/?id=EJ1281805,"As the field moves toward adaptive and individualized behavior intervention, it is important to identify and consider relevant student characteristics as potential levers (i.e., critical factors) for improving intervention effectiveness. Motivated by previous findings suggesting that behavioral profiles and teachers' perceptions of students with problem behavior vary by student gender, we evaluated gender differences in teacher ratings and direct observations of classroom problem behavior for elementary students with or at risk of emotional and behavioral disorder (EBD; N = 352). We found significant gender differences for teacher ratings of problem behavior, social skills, and academic competence. However, we did not find significant differences between male and female students on direct observation measures of behavior or reading skills. These findings provide evidence suggesting that student gender may be a critical factor in addressing classroom problem behavior. Future work in",
Rates of Common Classroom Behavior Management Strategies and Their Associations with Challenging Student Behavior in Elementary School.,"Owens, Julie Sarno; Holdaway, Alex S.; Smith, Jessica; Evans, Steven W.; Himawan, Lina K.; Coles, Erika K.; Girio-Herrera, Erin; Mixon, Clifton S.; Egan, Theresa E.; Dawson, Anne E.",2018,EJ1187699,https://eric.ed.gov/?id=EJ1187699,"In this study, we (a) describe patterns of challenging student behaviors (classwide and for a target student with attention deficit hyperactivity disorder [ADHD]) and teacher behaviors (i.e., praise, commands, and responses to challenging behavior) in kindergarten through Grade 5 classrooms, (b) examine the relations between these behaviors, and (c) describe a threshold of teacher behaviors most associated with low levels of challenging student behavior. Participants were 55 teachers observed using a modified version of the Student Behavior Teacher Response (SBTR) system. Across grades, there was variability in rates of classwide challenging behavior per hour (M = 35.81 to 102.62) and rates of praise per hour (M = 10.90 to 37.70). The percentage of challenging behaviors to which teachers responded appropriately was generally low (M = 27% to 47%) and stable across grades. For classwide challenging behavior, higher percentages of appropriate teacher response were significantly",
Teaching Sam to Read: An Integrated Team Approach with One Child with Autism Spectrum Disorder.,"Coulter, Gail; Sasnett, Roger",2016,EJ1129813,https://eric.ed.gov/?id=EJ1129813,"Few evidence-based practices are available to guide educators in teaching reading to children with Autism Spectrum Disorder who have complex learning and behavioral needs associated with the symptoms of ASD and common co-occurring conditions, such as Attention Deficit/Hyperactive Disorder and Specific Learning Disability. Some researchers have suggested aligning interventions with the general learning profile of children with ASD. Other studies recommend using a comprehensive treatment model for behaviors associated with ASD. This case study documents how utilizing a comprehensive approach to address the unique learning profile of one child with multiple neurodevelopmental disorders led to significant gains in that child's reading achievement. The authors suggest that the combination of interventions for one child with one learning profile may be effective for other children with ASD with a similar constellation of symptoms.",O
"Republication of ""Functional Analysis of Classroom Variables for Students with Emotional and Behavioral Disorders"".","Dunlap, Glen; Kern, Lee; dePerczel, Maria; Clarke, Shelley; Wilson, Diane; Childs, Karen E.; White, Ronnie; Falk, George D.",2018,EJ1166693,https://eric.ed.gov/?id=EJ1166693,"Functional assessment and functional analysis are processes that have been applied successfully in work with people who have developmental disabilities, but they have been used rarely with students who experience emotional or behavioral disorders. In the present study, five students in elementary school programs for severe emotional disturbance participated in a comprehensive functional assessment process designed to yield a useful understanding of their desirable and undesirable behaviors. Interviews, record reviews, and direct classroom observations led to the development of individualized hypotheses regarding relationships between classroom events and the occurrence of target behaviors. Subsequently, direct manipulations (i.e., functional analyses) were conducted to test each of the hypotheses in the context of regularly-occurring classroom activities. These analyses demonstrate important influences that certain classroom variables can exert over individual student's behavior. The",O
Exploring the Implementation of an Intervention for a Pupil with Mathematical Learning Difficulties: A Case Study.,"Chin, Kin Eng; Fu, Sai Hoe",2021,EJ1340063,https://eric.ed.gov/?id=EJ1340063,"This study presents a single case study of how a remedial mathematics teacher incorporated an instructional intervention into her teaching practices in order to teach counting to a pupil with mathematical learning difficulties. This new theory-driven intervention was developed by the authors of this study. Dyscalculia is a term which refers to a wide range of mathematical learning difficulties or disabilities. Dyscalculic pupils have a specific mathematics learning disorder with a core deficit in representing and processing of numerosity. They might not be able to recognise numerical quantities, performing counting and so on. Early supports such as interventions have a great potential in helping dyscalculic pupils to improve mathematical skills. However, there remains a lack of appropriate instructional scaffolds to help dyscalculic pupils to organise their learning structures by addressing both cognitive deficits and mathematical skills. The present study involves a primary school",
Mathematical Thinking Process of Autistic Students in Terms of Representational Gesture.,"Mustafa, Sriyanti; Nusantara, Toto; Subanji; Irawati, Santi",2016,EJ1103527,https://eric.ed.gov/?id=EJ1103527,"The aim of this study is to describe the mathematical thinking process of autistic students in terms of gesture, using a qualitative approach. Data collecting is conducted by using 3 (three) audio-visual cameras. During the learning process, both teacher and students' activity are recorded using handy cam and digital camera (full HD capacity). Once the data is collected (the recording process is complete), it will be analyzed exploratively until data triangulation is carried out. Results of this study describes the process of mathematical thinking in terms of a gesture of students with autism in three categories, namely correctly processed, partially processed, and contradictory processed. Correctly processed is a series of actions to solve the problems that are processed properly marked with a matching gesture, partially processed is a series of actions to resolve problems with partially processed properly marked with discrepancy gesture, while contradictory processed is a series of",O
